Dates,Within 6 Months,Within 12 Months,Within 24 Months,Recession
date,number,number,number,number
2002-02-01,0.5347708409986522,0.32720986864312485,0.37612470251873603,-1
2002-03-01,0.4396706013588162,0.27177368495319776,0.3223767336105837,-1
2002-04-01,0.3752506063395463,0.2362273894662582,0.29234342316590967,-1
2002-05-01,0.3245881039559811,0.20911898699064113,0.27145404392969363,-1
2002-06-01,0.28598037518878155,0.19031518479321582,0.26127898644574044,-1
2002-07-01,0.2667535023442969,0.18268108623001267,0.26293499070656196,-1
2002-08-01,0.23912726956458805,0.1673199405365186,0.2536437592059254,-1
2002-09-01,0.2281519434470725,0.160435480470683,0.2527361786256635,-1
2002-10-01,0.22097832916761137,0.15941478562789935,0.2607864170778056,-1
2002-11-01,0.20486371104937479,0.15677962834734854,0.2696838797625357,-1
2002-12-01,0.20131877570398682,0.15995503803319042,0.27946813885256716,-1
2003-01-01,0.20218656620926323,0.1621987215636555,0.28511939327135316,-1
2003-02-01,0.2053090640900868,0.16638307265692176,0.29218254967176804,-1
2003-03-01,0.23379853568035625,0.18760498778476942,0.3157098385606989,-1
2003-04-01,0.23116526338853757,0.19010838936614288,0.3230083633329032,-1
2003-05-01,0.22322182379871985,0.19076311572167787,0.32726268723252006,-1
2003-06-01,0.1896134199263828,0.16632010774080966,0.29704579839069467,-1
2003-07-01,0.1538452545594178,0.13790559992671755,0.2563483591149196,-1
2003-08-01,0.12262704079531576,0.11140415617546708,0.21040133652499993,-1
2003-09-01,0.09752307913604306,0.0899897656327857,0.17438232508817095,-1
2003-10-01,0.07770997172997039,0.07418893646912282,0.15114984646974222,-1
2003-11-01,0.062012653059786475,0.06188928164605925,0.13268542184746643,-1
2003-12-01,0.04932106457711868,0.05040755433838396,0.11299477139310911,-1
2004-01-01,0.039228604524110096,0.04107302302655035,0.09638629974601838,-1
2004-02-01,0.031218681084281948,0.033678850373411735,0.08334493506721534,-1
2004-03-01,0.024892671993098154,0.02831802670059987,0.07590090172077307,-1
2004-04-01,0.019966683088024014,0.024690925214226125,0.0730258433425777,-1
2004-05-01,0.0160207718434066,0.02157195537964153,0.06850662768448101,-1
2004-06-01,0.012838714612780603,0.018788556856474306,0.06396440789347135,-1
2004-07-01,0.010499416011513253,0.018654194389366132,0.06872406273416393,-1
2004-08-01,0.00888322912587135,0.02021923965584803,0.07810074144680129,-1
2004-09-01,0.008206096482961195,0.0240696445911789,0.09217826580338805,-1
